perc_ratio,percussive_loudness,beat_align,mean_ioi_sec,note_shortness,dissonance,spectral_centroid_mean,track_id,perc_ratio_norm,percussive_loudness_norm,note_shortness_norm,dissonance_norm,spectral_centroid_mean_norm,combat_score,chill_score
0.036564924,0.02170627750456333,5.122568607330322,0.338489541134806,0.7743403059101294,0.25496479868888855,2337.416229696283,11 Whispers of Oxenfurt,0.13643816,0.19441961928237705,0.8832666826650281,0.17800601809345676,0.948920939081021,0.3943481119577358,0.6056518880422642
0.20072713,0.06276942044496536,9.833274841308594,0.2006764063906921,0.8662157290728719,0.41907820105552673,1538.0816316944395,12 The Nightingale,0.9364148,0.7909654754485823,0.9880662128147858,0.6743120495691041,0.2838146183609537,0.7353821606814173,0.26461783931858274
0.21047346,0.04395916685461998,7.7461700439453125,0.2406514282164268,0.8395657145223822,0.5207306742668152,2259.115268648092,13 City of Intrigues,0.9839095,0.5176990367582427,0.9576673432669597,0.9817259160884846,0.8837686683776231,0.8443769847642031,0.1556230152357969
0.037314538,0.03700176998972893,4.60030460357666,0.39571805615298417,0.7361879625646772,0.31096044182777405,1379.5753799050576,14 The Hunter Path,0.14009109,0.416625276391719,0.8397474528310256,0.34734609041796005,0.15192553186038263,0.31264541247918826,0.6873545875208118
0.19860795,0.06780032068490982,6.80723762512207,0.2514050492495623,0.8323966338336252,0.5408729314804077,2311.5911476954325,15 Widow-maker,0.9260878,0.8640520069710291,0.9494897886835473,1.0,0.9274325344569537,0.9242748265089268,0.07572517349107322
0.03719976,0.020372502505779266,4.415121555328369,0.4699689886338751,0.6866873409107499,0.2430618852376938,1427.919380253372,16 Kaer Morhen,0.13953178,0.17504316897662434,0.783283583464531,0.14200964209509115,0.1921513650483049,0.2236804035522959,0.7763195964477041
0.15829924,0.05880212038755417,7.080044269561768,0.22530210608228532,0.8497985959451431,0.47124215960502625,1926.7892068161493,17 Eyes of the Wolf,0.72966,0.7333304226994167,0.969339683140529,0.8320644749068238,0.6072484666786557,0.7454239368936392,0.25457606310636083
0.03634693,0.031339049339294434,1.64639151096344,1.821810324129652,0.0,0.27850279211997986,1565.9085748346147,18 Witch Hunters,0.13537586,0.3343599577446212,0.0,0.24918879744127906,0.30696872155517796,0.22297481056934587,0.7770251894306541
0.2214798,0.07554557174444199,4.706120014190674,0.24818933561448528,0.8345404429236765,0.4867878556251526,2523.449865133303,19 ...Steel for Humans,1.0,0.9765713392402796,0.951935167193208,0.8790772269856516,1.0,0.9711979474981676,0.02880205250183243
0.0060105445,0.007076115347445011,2.1691505908966064,3.1931182795698922,0.0,0.2356744408607483,1464.7433817854628,20 Fate Calls,0.0,0.0,0.0,0.11966879029020384,0.22279169543613395,0.06250865763075736,0.9374913423692426
0.01648686,0.0128908297047019,5.382795810699463,0.7138361603739021,0.5241092264173985,0.20375432074069977,1110.3217213578105,21 The Vagabond,0.03859603,0.06635297657825333,0.5978356211584801,0.023137075557880932,0.0,0.09142117706403176,0.9085788229359683
0.093068674,0.03285929560661316,6.302427768707275,0.2071729372020917,0.8618847085319389,0.4152776896953583,2022.5446200032336,22 Cloak and Dagger,0.4117858,0.35644537415898025,0.983125948028688,0.6628186755756175,0.6869241503198942,0.5477673145888025,0.45223268541119754
